timestamp,tweet_count,sentiment_mean,ci_lower_95,ci_upper_95,volume_anomaly_ratio,composite_score,signal,confidence
2026-08-15T17:37:32,4,0.0649,-0.1041,0.2339,3.37,0.0779,HOLD,0.9155
2026-08-15T18:07:32,2,-0.4076,-0.4435,-0.3717,1.68,-1.0021,SELL,0.9821
2026-08-15T18:22:32,2,0.4592,-0.2059,1.1243,1.68,1.1325,HOLD,0.6674
2026-08-15T19:07:32,2,0.0000,0.0000,0.0000,1.68,-0.0918,HOLD,1.0000
2026-08-15T19:37:32,1,-0.4810,-0.4810,-0.4810,0.84,-1.0772,HOLD,1.0000
2026-08-15T21:37:32,1,0.0000,0.0000,0.0000,0.84,0.0962,HOLD,1.0000
2026-08-16T01:52:32,1,-0.4939,-0.4939,-0.4939,0.84,-1.0927,HOLD,1.0000
2026-08-16T02:37:32,1,-0.1984,-0.1984,-0.1984,0.84,-0.6393,HOLD,1.0000
2026-08-16T02:52:32,1,0.0000,0.0000,0.0000,0.84,0.0397,HOLD,1.0000
2026-08-16T03:22:32,3,-0.3046,-0.7903,0.1811,2.53,-0.8655,HOLD,0.7572
2026-08-16T03:37:32,2,0.2170,0.1617,0.2722,1.68,0.8213,HOLD,0.9724
2026-08-16T03:52:32,1,0.7351,0.7351,0.7351,0.84,1.3387,HOLD,1.0000
2026-08-16T04:07:32,2,0.2056,-0.0996,0.5108,1.68,0.5997,HOLD,0.8474
2026-08-16T04:22:32,3,0.1377,-0.5342,0.8096,2.53,0.1241,HOLD,0.6641
2026-08-16T04:37:32,3,0.1663,-0.0979,0.4305,2.53,0.6720,HOLD,0.8679
2026-08-16T04:52:32,5,0.2253,-0.0213,0.4718,4.21,0.7371,HOLD,0.8767
2026-08-16T05:07:32,2,0.6623,0.3329,0.9917,1.68,1.2497,BUY,0.8353
2026-08-16T05:37:32,5,-0.0175,-0.4744,0.4394,4.21,-0.0534,HOLD,0.7715
2026-08-16T05:52:32,3,0.1647,-0.1120,0.4414,2.53,0.7012,HOLD,0.8617
2026-08-16T06:07:32,1,0.6289,0.6289,0.6289,0.84,1.2217,HOLD,1.0000
2026-08-16T06:22:32,1,0.8555,0.8555,0.8555,0.84,1.4008,HOLD,1.0000
2026-08-16T06:37:32,5,-0.0622,-0.5074,0.3831,4.21,-0.4124,HOLD,0.7774
2026-08-16T06:52:32,2,0.5367,0.0489,1.0245,1.68,1.1564,HOLD,0.7561
2026-08-16T07:07:32,2,0.0774,-0.0274,0.1823,1.68,0.4856,HOLD,0.9476
2026-08-16T07:22:32,3,0.0273,-0.0145,0.0691,2.53,0.0173,HOLD,0.9791
2026-08-16T07:37:32,3,0.0908,-0.4623,0.6438,2.53,0.1035,HOLD,0.7235
2026-08-16T07:52:32,3,-0.1645,-0.6500,0.3209,2.53,-0.3822,HOLD,0.7573
2026-08-16T08:07:32,2,0.3328,0.0966,0.5690,1.68,0.9323,HOLD,0.8819
2026-08-16T08:22:32,3,0.1803,-0.3800,0.7407,2.53,0.3165,HOLD,0.7198
2026-08-16T08:37:32,2,-0.0006,-1.0538,1.0527,1.68,-0.0367,HOLD,0.4734
2026-08-16T08:52:32,2,0.8018,0.6226,0.9809,1.68,1.4622,BUY,0.9104
2026-08-16T09:07:32,2,0.1081,-0.0321,0.2483,1.68,0.4693,HOLD,0.9299
2026-08-16T09:22:32,1,0.9062,0.9062,0.9062,0.84,1.5658,HOLD,1.0000
