timestamp,symbol,open,high,low,close,volume
2026-08-14T09:15:00+00:00,NIFTY50,22450.0,22460.0,22430.0,22455.0,1000000
2026-08-14T09:20:00+00:00,NIFTY50,22455.0,22480.0,22450.0,22475.0,1200000
2026-08-14T09:25:00+00:00,NIFTY50,22475.0,22490.0,22460.0,22485.0,900000
2026-08-14T09:30:00+00:00,NIFTY50,22485.0,22500.0,22470.0,22495.0,1100000
2026-08-14T09:35:00+00:00,NIFTY50,22495.0,22510.0,22480.0,22490.0,850000
2026-08-14T09:40:00+00:00,NIFTY50,22490.0,22505.0,22475.0,22495.0,800000
2026-08-14T09:45:00+00:00,NIFTY50,22495.0,22515.0,22490.0,22510.0,950000
2026-08-14T09:50:00+00:00,NIFTY50,22510.0,22525.0,22500.0,22520.0,1050000
2026-08-14T09:55:00+00:00,NIFTY50,22520.0,22530.0,22510.0,22525.0,900000
2026-08-14T10:00:00+00:00,NIFTY50,22525.0,22540.0,22515.0,22535.0,1100000
2026-08-14T10:05:00+00:00,NIFTY50,22535.0,22550.0,22525.0,22545.0,950000
2026-08-14T10:10:00+00:00,NIFTY50,22545.0,22560.0,22535.0,22555.0,1050000
2026-08-14T10:15:00+00:00,NIFTY50,22555.0,22570.0,22545.0,22565.0,1200000
2026-08-14T10:20:00+00:00,NIFTY50,22565.0,22580.0,22550.0,22575.0,1300000
2026-08-14T10:25:00+00:00,NIFTY50,22575.0,22585.0,22560.0,22570.0,1000000
2026-08-14T10:30:00+00:00,NIFTY50,22570.0,22590.0,22560.0,22580.0,1150000
2026-08-14T10:35:00+00:00,NIFTY50,22580.0,22595.0,22570.0,22585.0,1050000
2026-08-14T10:40:00+00:00,NIFTY50,22585.0,22600.0,22575.0,22590.0,1100000
2026-08-14T10:45:00+00:00,NIFTY50,22590.0,22605.0,22580.0,22595.0,1000000
2026-08-14T10:50:00+00:00,NIFTY50,22595.0,22610.0,22585.0,22600.0,1050000
2026-08-14T10:55:00+00:00,NIFTY50,22600.0,22615.0,22590.0,22605.0,1100000
